"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-17",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-18",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-19",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-20",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-21",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-22",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-23",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-24",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-25",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-26",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-27",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-28",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-29",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-04-30",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-01",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-02",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-03",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-04",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-05",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-06",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-07",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-10",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-11",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-12",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-13",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-14",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-15",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-16",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-17",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-18",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-19",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-20",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-21",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-22",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-23",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-24",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-25",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-26",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-27",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-28",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-29",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-30",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-05-31",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-06-01",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-06-02",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-06-03",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-06-04",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-06-05",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-06-06",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-06-07",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-06-08",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-06-09",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-06-10",,,,,,,,,,,,,
"US1VARCC014","RICHMOND 4.2 NNE, VA US","37.587742","-77.448133","61.0","2021-06-11",,,,,,,,,,,,,
